time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program
0.111541888,3025,2067411,673805,935218,35678670,0,prog
0.121784746,2197,1002390,913858,1055521,19965629,0,prog
0.132043806,2284,978151,903579,1025969,19427011,0,prog
0.142305835,2162,981924,893316,1032111,19536730,0,prog
0.152575712,2469,1367227,757599,1395435,28669455,0,prog
0.162849612,3396,3468676,1673,3399542,78457984,0,prog
0.173102145,3471,3777148,63,689343,61422607,0,prog
0.18333226,2510,1606247,771795,985832,28866917,0,prog
0.19354599,2228,992013,910699,1042503,19729169,0,prog
0.203803002,2327,993068,896195,1040529,19711726,0,prog
0.214063804,2154,985456,878966,1034639,19600290,0,prog
0.224333366,2492,1655918,639994,1668632,35548959,0,prog
0.234600819,3314,3452278,1412,3265444,77182301,0,prog
0.244851622,3449,3762740,37,463730,59403010,0,prog
0.25508227,2406,1314827,838868,1030869,24624079,0,prog
0.26534121,2141,993851,914150,1043954,19776409,0,prog
0.275597594,2110,995256,893387,1045983,19807425,0,prog
0.285871932,2141,988491,878598,1037383,19645380,0,prog
0.29613611,2697,1896905,547545,1896302,41203268,0,prog
0.306401246,3308,3454717,1207,2982111,74930004,0,prog
0.316654552,3484,3794042,40,467523,59897597,0,prog
0.326898979,2161,1034271,908821,1079955,20571334,0,prog
0.337156825,2104,990212,908006,1041801,19710220,0,prog
0.347413441,2128,993925,894784,1045044,19779936,0,prog
0.357672307,2096,977933,874040,1026893,19443065,0,prog
0.367937469,2673,2078716,482953,2069865,45580370,0,prog
0.378195227,3378,3491164,1048,2760921,73723958,0,prog
0.388452953,3409,3596755,77688,526083,57159479,0,prog
0.398678165,2114,1016936,902596,1070926,20262694,0,prog
0.408935145,2097,992902,923419,1044003,19766657,0,prog
0.419203587,2154,998316,887335,1048417,19841909,0,prog
0.429461521,2098,977562,875283,1027229,19440833,0,prog
0.439729865,2750,2302202,368865,2285463,50882275,0,prog
0.450013352,3306,3472915,951,2494761,71304626,0,prog
0.460262431,3299,3385212,147213,575211,54148766,0,prog
0.470494156,2109,1016370,899405,1070448,20253917,0,prog
0.480757772,2127,992301,922023,1042872,19735931,0,prog
0.491014127,2120,996208,885449,1047694,19827102,0,prog
0.501274303,2113,974086,885234,1022501,19364677,0,prog
0.511538858,2875,2509683,303181,2484139,55787055,0,prog
0.521794476,3322,3502474,834,2256440,69841084,0,prog
0.532053544,3166,3163173,231215,632665,51032676,0,prog
0.542296807,2106,1010960,871821,1065202,20145146,0,prog
0.552565811,2152,993308,921925,1042611,19737096,0,prog
0.562823713,2118,997389,886703,1048496,19841517,0,prog
0.573082174,2076,975311,892592,1024524,19392906,0,prog
0.583348703,2936,2695576,230590,2659534,60219741,0,prog
0.593611294,3318,3515533,836,2024265,68179834,0,prog
0.603853915,3052,2956030,306727,680178,48089239,0,prog
0.614091705,2097,1008806,899348,1062752,20100681,0,prog
0.624349051,2120,996038,924654,1046857,19816812,0,prog
